Date,SVBFG,S&P 500 index,KBW bank index
4/17/2017,103.63,104.04,96.77
4/18/2017,102.73,103.74,95.78
4/19/2017,103.96,103.56,95.73
4/20/2017,106.61,104.34,97.52
4/21/2017,106.39,104.02,96.71
4/24/2017,108.83,105.15,99.16
4/25/2017,110.50,105.79,99.88
4/26/2017,111.84,105.74,100.18
4/27/2017,109.93,105.80,99.49
4/28/2017,102.22,105.60,98.45
5/1/2017,104.74,105.78,99.35
5/2/2017,103.64,105.91,99.01
5/3/2017,105.43,105.77,100.01
5/4/2017,105.65,105.83,100.25
5/5/2017,106.12,106.27,99.96
5/8/2017,106.87,106.27,100.28
5/9/2017,108.04,106.16,99.72
5/10/2017,108.21,106.28,99.91
5/11/2017,106.29,106.05,99.15
5/12/2017,105.69,105.89,98.68
5/15/2017,107.59,106.40,99.55
5/16/2017,107.29,106.33,100.01
5/17/2017,101.19,104.39,95.93
5/18/2017,101.19,104.78,96.29
5/19/2017,102.07,105.49,97.13
5/22/2017,102.61,106.03,97.36
5/23/2017,104.56,106.23,98.63
5/24/2017,104.37,106.49,98.33
5/25/2017,104.00,106.96,98.25
5/26/2017,102.55,107.00,98.00
5/30/2017,100.99,106.87,97.04
5/31/2017,99.06,106.82,95.89
6/1/2017,100.77,107.63,97.11
6/2/2017,98.34,108.03,96.44
6/5/2017,98.47,107.90,96.58
6/6/2017,97.56,107.60,96.15
6/7/2017,98.59,107.77,97.27
6/8/2017,102.00,107.79,98.95
6/9/2017,104.96,107.70,101.20
6/12/2017,105.84,107.60,101.27
6/13/2017,106.50,108.08,101.78
6/14/2017,106.07,107.98,101.90
6/15/2017,104.45,107.73,101.36
6/16/2017,103.93,107.77,101.14
6/19/2017,105.01,108.67,102.06
6/20/2017,102.91,107.94,101.09
6/21/2017,101.01,107.87,100.28
6/22/2017,101.24,107.83,99.58
6/23/2017,99.26,107.99,98.77
6/26/2017,100.60,108.03,99.42
6/27/2017,101.35,107.16,100.16
6/28/2017,102.31,108.10,101.83
6/29/2017,102.97,107.17,103.15
6/30/2017,102.13,107.33,103.15
7/3/2017,104.25,107.58,104.75
7/5/2017,104.93,107.74,105.10
7/6/2017,102.90,106.73,104.21
7/7/2017,105.58,107.41,104.80
7/10/2017,105.11,107.51,104.70
7/11/2017,105.98,107.43,104.06
7/12/2017,105.84,108.21,103.98
7/13/2017,106.36,108.42,104.63
7/14/2017,105.57,108.92,103.90
7/17/2017,104.91,108.92,103.79
7/18/2017,104.56,108.98,103.17
7/19/2017,104.62,109.57,102.73
7/20/2017,104.56,109.55,102.53
7/21/2017,103.08,109.51,102.26
7/24/2017,103.57,109.39,103.02
7/25/2017,106.32,109.71,104.40
7/26/2017,103.79,109.74,103.33
7/27/2017,104.08,109.64,103.04
7/28/2017,102.83,109.49,102.75
7/31/2017,103.67,109.41,103.57
8/1/2017,106.55,109.68,104.45
8/2/2017,106.51,109.73,104.55
8/3/2017,105.42,109.49,103.92
8/4/2017,107.42,109.70,104.90
8/7/2017,106.23,109.88,104.60
8/8/2017,106.91,109.62,104.76
8/9/2017,104.32,109.58,104.18
8/10/2017,100.41,107.99,101.83
8/11/2017,99.95,108.13,101.17
8/14/2017,101.28,109.21,102.97
8/15/2017,101.48,109.16,103.12
8/16/2017,101.17,109.31,102.75
8/17/2017,96.62,107.63,100.58
8/18/2017,96.79,107.43,100.60
8/21/2017,95.77,107.55,100.18
8/22/2017,97.80,108.62,101.30
8/23/2017,97.86,108.25,101.30
8/24/2017,98.39,108.02,101.59
8/25/2017,98.56,108.20,101.64
8/28/2017,97.58,108.26,101.08
8/29/2017,96.39,108.35,100.32
8/30/2017,98.55,108.85,100.70
8/31/2017,98.39,109.47,100.32
9/1/2017,100.24,109.69,101.08
9/5/2017,97.13,108.86,98.60
9/6/2017,97.51,109.20,98.76
9/7/2017,93.38,109.18,96.80
9/8/2017,94.39,109.02,97.29
9/11/2017,97.94,110.20,99.27
9/12/2017,99.49,110.57,100.90
9/13/2017,99.59,110.65,101.30
9/14/2017,98.18,110.53,100.71
9/15/2017,99.11,110.74,101.22
9/18/2017,100.31,110.90,102.53
9/19/2017,100.44,111.02,103.43
9/20/2017,102.96,111.09,104.27
9/21/2017,104.03,110.75,104.82
9/22/2017,104.47,110.82,104.70
9/25/2017,104.54,110.58,104.42
9/26/2017,104.97,110.59,104.63
9/27/2017,108.31,111.04,106.33
9/28/2017,108.41,111.17,106.49
9/29/2017,108.70,111.58,107.10
10/2/2017,109.20,112.02,107.69
10/3/2017,108.14,112.26,107.69
10/4/2017,106.14,112.40,107.07
10/5/2017,108.80,113.03,108.54
10/6/2017,109.87,112.91,108.71
10/9/2017,109.23,112.71,108.06
10/10/2017,109.77,112.97,108.72
10/11/2017,109.27,113.17,108.35
10/12/2017,108.90,112.98,107.21
10/13/2017,107.00,113.08,106.69
10/16/2017,107.60,113.28,107.38
10/17/2017,105.53,113.36,106.59
10/18/2017,106.15,113.44,107.28
10/19/2017,107.59,113.48,107.47
10/20/2017,110.08,114.06,109.16
10/23/2017,108.53,113.60,108.75
10/24/2017,109.80,113.79,109.63
10/25/2017,109.56,113.26,109.10
10/26/2017,111.77,113.40,110.01
10/27/2017,125.90,114.32,110.30
10/30/2017,128.36,113.95,109.80
10/31/2017,127.40,114.06,109.46
11/1/2017,127.08,114.24,109.72
11/2/2017,127.19,114.26,110.39
11/3/2017,127.54,114.62,110.20
11/6/2017,126.48,114.76,110.06
11/7/2017,124.95,114.74,107.55
11/8/2017,121.75,114.91,106.58
11/9/2017,120.98,114.47,105.73
11/10/2017,121.36,114.37,105.30
11/13/2017,123.32,114.48,106.00
11/14/2017,123.91,114.22,106.52
11/15/2017,124.18,113.59,106.94
11/16/2017,124.47,114.52,106.90
11/17/2017,125.04,114.22,107.01
11/20/2017,125.00,114.36,107.56
11/21/2017,124.87,115.11,107.34
11/22/2017,124.38,115.03,107.02
11/24/2017,123.81,115.26,106.73
11/27/2017,123.99,115.22,106.50
11/28/2017,128.59,116.35,109.68
11/29/2017,131.87,116.31,112.62
11/30/2017,132.26,117.26,112.83
12/1/2017,132.56,117.03,112.95
12/4/2017,134.37,116.90,115.28
12/5/2017,132.19,116.46,114.24
12/6/2017,132.85,116.45,113.67
12/7/2017,133.51,116.79,114.33
12/8/2017,134.95,117.44,115.08
12/11/2017,135.02,117.81,114.56
12/12/2017,136.48,117.99,115.81
12/13/2017,134.38,117.94,114.24
12/14/2017,133.44,117.46,113.26
12/15/2017,138.01,118.51,114.64
12/18/2017,139.82,119.15,116.01
12/19/2017,138.41,118.76,115.55
12/20/2017,137.29,118.67,115.22
12/21/2017,140.41,118.90,116.66
12/22/2017,140.43,118.85,116.48
12/26/2017,137.21,118.72,115.74
12/27/2017,136.47,118.81,115.61
12/28/2017,138.11,119.03,116.13
12/29/2017,135.82,118.42,115.14
1/2/2018,137.92,119.40,115.57
1/3/2018,138.08,120.16,116.17
1/4/2018,139.40,120.65,117.25
1/5/2018,141.67,121.50,117.50
1/8/2018,141.52,121.70,117.35
1/9/2018,143.44,121.86,118.60
1/10/2018,145.04,121.72,120.17
1/11/2018,145.63,122.58,121.00
1/12/2018,147.10,123.40,121.98
1/16/2018,146.24,122.97,121.49
1/17/2018,147.93,124.13,122.12
1/18/2018,147.57,123.93,121.66
1/19/2018,148.92,124.47,123.16
1/22/2018,150.68,125.47,124.35
1/23/2018,151.84,125.75,124.62
1/24/2018,151.48,125.68,125.32
1/25/2018,151.71,125.75,124.71
1/26/2018,149.80,127.24,125.60
1/29/2018,145.40,126.38,125.40
1/30/2018,143.52,125.01,124.21
1/31/2018,143.24,125.07,124.41
2/1/2018,147.21,124.99,125.72
2/2/2018,144.73,122.34,123.43
2/5/2018,136.99,117.32,117.36
2/6/2018,141.43,119.37,119.35
2/7/2018,139.74,118.77,119.76
2/8/2018,131.93,114.31,114.46
2/9/2018,138.65,116.02,116.72
2/12/2018,139.36,117.64,118.20
2/13/2018,139.12,117.94,118.92
2/14/2018,143.79,119.52,122.17
2/15/2018,144.59,120.97,122.62
2/16/2018,144.56,121.01,122.70
2/20/2018,144.91,120.30,122.39
2/21/2018,146.74,119.64,122.92
2/22/2018,141.66,119.76,121.21
2/23/2018,144.13,121.68,123.25
2/26/2018,146.24,123.11,124.41
2/27/2018,143.89,121.55,123.02
2/28/2018,144.66,120.20,121.60
3/1/2018,145.35,118.60,119.97
3/2/2018,148.65,119.20,120.74
3/5/2018,151.13,120.51,122.17
3/6/2018,154.61,120.83,122.76
3/7/2018,154.79,120.77,122.76
3/8/2018,154.06,121.31,122.57
3/9/2018,157.29,123.42,125.27
3/12/2018,155.40,123.26,124.64
3/13/2018,152.33,122.48,123.20
3/14/2018,150.78,121.78,121.38
3/15/2018,150.92,121.68,121.42
3/16/2018,153.27,121.89,121.84
3/19/2018,151.40,120.16,121.04
3/20/2018,153.72,120.33,120.81
3/21/2018,153.99,120.11,121.05
3/22/2018,145.64,117.09,116.03
3/23/2018,139.18,114.64,112.15
3/26/2018,144.94,117.75,116.16
3/27/2018,138.98,115.71,113.35
3/28/2018,137.00,115.38,113.43
3/29/2018,139.44,116.97,114.91
4/2/2018,135.62,114.35,112.59
4/3/2018,137.40,115.80,114.29
4/4/2018,139.91,117.13,115.75
4/5/2018,140.76,117.94,116.52
4/6/2018,137.15,115.35,113.38
4/9/2018,137.76,115.74,114.20
4/10/2018,142.73,117.67,116.01
4/11/2018,141.52,117.02,114.69
4/12/2018,145.57,117.99,117.18
4/13/2018,143.52,117.65,114.78
4/16/2018,143.26,118.60,114.87
4/17/2018,142.12,119.87,113.82
4/18/2018,141.02,119.97,113.20
4/19/2018,144.75,119.28,115.62
4/20/2018,145.73,118.26,115.87
4/23/2018,147.71,118.27,116.37
4/24/2018,149.67,116.69,116.44
4/25/2018,149.65,116.90,116.39
4/26/2018,149.53,118.12,116.00
4/27/2018,177.56,118.25,116.91
4/30/2018,174.07,117.28,115.45
5/1/2018,177.47,117.58,115.56
5/2/2018,177.79,116.74,114.62
5/3/2018,176.32,116.47,113.79
5/4/2018,177.68,117.96,114.91
5/7/2018,178.55,118.37,115.53
5/8/2018,181.69,118.34,116.71
5/9/2018,184.24,119.49,118.57
5/10/2018,186.08,120.61,119.51
5/11/2018,186.51,120.81,119.58
5/14/2018,185.45,120.92,119.45
5/15/2018,186.67,120.09,119.78
5/16/2018,187.13,120.58,119.68
5/17/2018,187.87,120.48,119.75
5/18/2018,186.95,120.16,118.16
5/21/2018,187.20,121.05,118.53
5/22/2018,188.42,120.67,119.64
5/23/2018,188.07,121.06,118.83
5/24/2018,187.25,120.81,118.17
5/25/2018,185.60,120.53,117.53
5/29/2018,178.36,119.14,112.92
5/30/2018,183.00,120.65,115.01
5/31/2018,181.34,119.82,114.31
6/1/2018,184.60,121.12,115.98
6/4/2018,185.64,121.66,116.47
6/5/2018,185.16,121.75,115.92
6/6/2018,188.00,122.79,118.31
6/7/2018,187.31,122.70,118.45
6/8/2018,189.24,123.08,118.69
6/11/2018,186.56,123.22,117.95
6/12/2018,186.00,123.43,117.72
6/13/2018,186.11,122.93,117.21
6/14/2018,183.88,123.24,116.10
6/15/2018,183.49,123.11,116.17
6/18/2018,184.91,122.85,116.37
6/19/2018,184.05,122.36,116.39
6/20/2018,185.03,122.57,116.26
6/21/2018,183.64,121.79,116.30
6/22/2018,180.21,122.02,115.12
6/25/2018,175.55,120.34,113.84
6/26/2018,173.90,120.61,113.15
6/27/2018,168.10,119.57,111.64
6/28/2018,169.45,120.31,112.29
6/29/2018,167.77,120.40,112.10
7/2/2018,169.79,120.77,113.13
7/3/2018,167.92,120.17,111.80
7/5/2018,169.33,121.21,111.93
7/6/2018,171.64,122.23,112.57
7/9/2018,176.77,123.31,115.54
7/10/2018,175.41,123.74,114.75
7/11/2018,174.83,122.86,114.05
7/12/2018,174.58,123.94,113.91
7/13/2018,171.57,124.07,112.79
7/16/2018,175.69,123.94,115.13
7/17/2018,179.06,124.44,115.44
7/18/2018,179.38,124.71,116.83
7/19/2018,178.38,124.21,115.22
7/20/2018,179.36,124.09,115.39
7/23/2018,183.29,124.32,117.51
7/24/2018,181.22,124.92,117.59
7/25/2018,180.55,126.05,117.48
7/26/2018,180.82,125.67,117.63
7/27/2018,184.36,124.85,118.17
7/30/2018,175.23,124.13,118.34
7/31/2018,178.88,124.73,117.54
8/1/2018,182.16,124.61,118.06
8/2/2018,186.39,125.22,118.60
8/3/2018,186.88,125.80,119.06
8/6/2018,188.69,126.25,119.06
8/7/2018,187.12,126.60,119.39
8/8/2018,187.05,126.57,120.04
8/9/2018,185.34,126.39,119.13
8/10/2018,184.03,125.49,117.74
8/13/2018,183.18,124.98,116.45
8/14/2018,186.05,125.78,118.02
8/15/2018,183.55,124.83,116.86
8/16/2018,186.74,125.82,118.51
8/17/2018,186.36,126.23,118.75
8/20/2018,188.42,126.54,119.25
8/21/2018,190.99,126.80,119.97
8/22/2018,189.50,126.75,119.71
8/23/2018,189.26,126.54,118.97
8/24/2018,189.71,127.32,118.97
8/27/2018,192.45,128.30,120.24
8/28/2018,189.75,128.33,120.08
8/29/2018,187.93,129.06,119.79
8/30/2018,186.43,128.49,118.76
8/31/2018,187.52,128.51,118.87
9/4/2018,189.53,128.30,119.62
9/5/2018,189.25,127.94,119.67
9/6/2018,186.19,127.47,118.75
9/7/2018,187.50,127.19,118.49
9/10/2018,188.32,127.43,118.34
9/11/2018,189.04,127.91,118.63
9/12/2018,184.41,127.95,116.83
9/13/2018,182.90,128.63,115.56
9/14/2018,185.50,128.66,116.06
9/17/2018,185.09,127.95,115.58
9/18/2018,184.01,128.63,115.59
9/19/2018,185.46,128.79,117.85
9/20/2018,190.37,129.80,119.27
9/21/2018,188.29,129.76,118.76
9/24/2018,186.40,129.30,117.30
9/25/2018,186.62,129.13,116.92
9/26/2018,183.97,128.71,115.17
9/27/2018,181.93,129.06,114.18
9/28/2018,180.59,129.06,113.15
10/1/2018,181.39,129.53,113.27
10/2/2018,178.34,129.48,113.09
10/3/2018,186.72,129.57,114.80
10/4/2018,186.27,128.51,115.63
10/5/2018,185.75,127.80,114.97
10/8/2018,184.97,127.75,115.81
10/9/2018,183.62,127.57,115.08
10/10/2018,174.96,123.38,112.42
10/11/2018,170.17,120.84,109.31
10/12/2018,168.49,122.56,108.41
10/15/2018,166.83,121.83,107.88
10/16/2018,171.13,124.45,108.85
10/17/2018,172.54,124.42,109.78
10/18/2018,168.03,122.63,107.78
10/19/2018,163.75,122.59,107.69
10/22/2018,160.97,122.06,104.75
10/23/2018,158.79,121.39,104.39
10/24/2018,149.87,117.64,101.28
10/25/2018,153.34,119.83,103.60
10/26/2018,134.67,117.75,102.32
10/29/2018,130.25,116.98,103.69
10/30/2018,132.68,118.82,105.13
10/31/2018,137.83,120.10,106.70
11/1/2018,139.83,121.37,107.27
11/2/2018,141.86,120.61,107.22
11/5/2018,141.52,121.28,108.07
11/6/2018,143.24,122.04,108.51
11/7/2018,146.54,124.63,109.52
11/8/2018,145.56,124.32,109.89
11/9/2018,143.71,123.17,109.17
11/12/2018,140.00,120.75,107.55
11/13/2018,140.98,120.57,108.28
11/14/2018,135.96,119.65,106.69
11/15/2018,139.64,120.92,108.49
11/16/2018,139.53,121.19,108.30
11/19/2018,139.64,119.17,108.42
11/20/2018,133.19,117.01,106.42
11/21/2018,132.88,117.37,106.42
11/23/2018,131.69,116.60,105.82
11/26/2018,136.75,118.41,108.20
11/27/2018,137.26,118.79,107.82
11/28/2018,142.11,121.52,109.40
11/29/2018,141.60,121.26,108.46
11/30/2018,148.04,122.25,109.59
12/3/2018,148.72,123.59,109.73
12/4/2018,139.69,119.59,104.40
12/6/2018,127.32,119.40,102.71
12/7/2018,119.57,116.62,100.63
12/10/2018,118.64,116.83,98.50
12/11/2018,116.72,116.78,97.29
12/12/2018,118.54,117.42,97.65
12/13/2018,113.95,117.39,96.05
12/14/2018,111.38,115.15,95.06
12/17/2018,111.99,112.76,94.36
12/18/2018,110.18,112.77,93.07
12/19/2018,108.29,111.03,91.14
12/20/2018,107.55,109.28,90.73
12/21/2018,106.40,107.03,89.04
12/24/2018,104.86,104.13,87.16
12/26/2018,112.24,109.30,91.36
12/27/2018,110.42,110.23,91.76
12/28/2018,110.34,110.09,91.88
12/31/2018,110.34,111.03,92.57
1/2/2019,113.78,111.17,94.24
1/3/2019,110.18,108.42,93.03
1/4/2019,116.44,112.14,96.22
1/7/2019,119.13,112.93,96.63
1/8/2019,120.30,114.02,96.74
1/9/2019,122.44,114.49,97.56
1/10/2019,123.44,115.01,97.26
1/11/2019,125.07,114.99,97.70
1/14/2019,125.34,114.39,98.87
1/15/2019,127.07,115.61,99.87
1/16/2019,130.59,115.87,102.39
1/17/2019,130.94,116.75,103.43
1/18/2019,134.20,118.29,105.24
1/22/2019,131.15,116.61,104.55
1/23/2019,130.92,116.87,104.48
1/24/2019,132.68,117.03,104.94
1/25/2019,140.65,118.02,105.97
1/28/2019,141.55,117.10,105.85
1/29/2019,139.83,116.93,105.27
1/30/2019,139.44,118.75,105.15
1/31/2019,135.59,119.77,104.08
2/1/2019,138.44,119.87,104.37
2/4/2019,139.18,120.69,104.96
2/5/2019,137.02,121.25,104.60
2/6/2019,137.60,120.98,104.50
2/7/2019,137.19,119.85,104.99
2/8/2019,135.50,119.93,104.13
2/11/2019,138.71,120.02,104.38
2/12/2019,140.68,121.57,105.90
2/13/2019,141.83,121.93,105.79
2/14/2019,139.66,121.61,104.77
2/15/2019,143.48,122.93,107.25
2/19/2019,144.58,123.12,107.78
2/20/2019,145.72,123.34,108.78
2/21/2019,142.72,122.90,108.09
2/22/2019,142.82,123.69,107.89
2/25/2019,143.96,123.84,108.14
2/26/2019,142.40,123.74,107.57
2/27/2019,145.54,123.68,108.38
2/28/2019,143.60,123.33,108.04
3/1/2019,145.06,124.18,108.50
3/4/2019,144.72,123.69,107.89
3/5/2019,144.09,123.55,107.74
3/6/2019,141.04,122.75,106.42
3/7/2019,138.97,121.75,104.93
3/8/2019,139.26,121.49,105.15
3/11/2019,140.71,123.27,105.92
3/12/2019,139.98,123.64,105.97
3/13/2019,141.77,124.50,107.00
3/14/2019,142.62,124.39,107.64
3/15/2019,143.05,125.01,107.92
3/18/2019,145.40,125.47,109.34
3/19/2019,142.65,125.46,107.90
3/20/2019,137.53,125.09,104.64
3/21/2019,132.65,126.44,103.04
3/22/2019,123.28,124.04,99.01
3/25/2019,124.72,123.94,98.59
3/26/2019,127.75,124.83,100.22
3/27/2019,126.83,124.25,99.76
3/28/2019,129.32,124.70,100.94
3/29/2019,129.19,125.54,100.97
4/1/2019,134.06,126.99,103.93
4/2/2019,135.00,126.99,104.23
4/3/2019,135.82,127.26,104.65
4/4/2019,137.13,127.53,105.51
4/5/2019,137.96,128.12,105.34
4/8/2019,138.81,128.26,105.64
4/9/2019,136.27,127.48,104.32
4/10/2019,137.85,127.92,104.80
4/11/2019,138.53,127.93,105.35
4/12/2019,141.61,128.77,107.39
4/15/2019,139.50,128.69,106.33
4/16/2019,143.04,128.76,108.02
4/17/2019,142.76,128.46,108.00
4/18/2019,141.26,128.67,107.48
4/22/2019,140.99,128.80,107.34
4/23/2019,145.10,129.93,108.13
4/24/2019,144.60,129.65,107.95
4/25/2019,143.71,129.60,108.14
4/26/2019,143.87,130.21,109.19
4/29/2019,146.81,130.35,110.47
4/30/2019,146.25,130.47,110.32
5/1/2019,145.50,129.49,109.19
5/2/2019,148.40,129.22,109.92
5/3/2019,150.25,130.46,110.78
5/6/2019,149.70,129.88,110.13
5/7/2019,146.03,127.74,107.87
5/8/2019,145.58,127.53,107.18
5/9/2019,145.34,127.15,107.07
5/10/2019,144.02,127.62,107.45
5/13/2019,134.84,124.54,103.62
5/14/2019,137.31,125.54,104.55
5/15/2019,133.33,126.27,103.38
5/16/2019,134.96,127.39,104.54
5/17/2019,133.49,126.65,103.91
5/20/2019,135.28,125.80,104.19
5/21/2019,137.61,126.86,105.10
5/22/2019,134.31,126.51,104.32
5/23/2019,128.40,125.00,102.41
5/24/2019,130.49,125.17,103.41
5/28/2019,127.61,124.12,101.93
5/29/2019,126.59,123.26,102.05
5/30/2019,122.96,123.52,100.78
5/31/2019,117.01,121.89,99.08
6/3/2019,117.81,121.55,99.90
6/4/2019,124.72,124.16,103.42
6/5/2019,123.33,125.17,103.26
6/6/2019,124.62,125.94,103.45
6/7/2019,123.72,127.26,102.73
6/10/2019,124.63,127.85,103.91
6/11/2019,125.22,127.81,104.42
6/12/2019,124.21,127.55,103.19
6/13/2019,126.39,128.07,103.50
6/14/2019,126.76,127.87,103.90
6/17/2019,126.37,127.98,102.51
6/18/2019,128.28,129.23,104.13
6/19/2019,124.18,129.61,103.12
6/20/2019,124.53,130.84,103.38
6/21/2019,125.60,130.68,103.55
6/24/2019,124.41,130.45,102.97
6/25/2019,124.62,129.21,102.65
6/26/2019,125.94,129.05,102.87
6/27/2019,128.57,129.55,103.68
6/28/2019,130.49,130.29,105.73
7/1/2019,129.77,131.29,106.84
7/2/2019,126.12,131.68,105.85
7/3/2019,126.81,132.69,106.61
7/5/2019,129.50,132.45,107.49
7/8/2019,125.01,131.81,106.37
7/9/2019,126.51,131.97,107.06
7/10/2019,123.54,132.56,105.89
7/11/2019,126.12,132.87,106.92
7/12/2019,129.13,133.48,107.34
7/15/2019,127.11,133.50,106.13
7/16/2019,126.45,133.05,105.45
7/17/2019,124.99,132.18,105.22
7/18/2019,126.20,132.65,106.29
7/19/2019,127.42,131.84,106.98
7/22/2019,127.25,132.21,107.09
7/23/2019,126.97,133.11,108.82
7/24/2019,131.34,133.74,110.47
7/25/2019,130.19,133.03,109.67
7/26/2019,135.83,134.02,111.27
7/29/2019,132.82,133.80,110.16
7/30/2019,134.11,133.46,110.39
7/31/2019,134.77,132.00,110.09
8/1/2019,126.80,130.81,106.08
8/2/2019,124.94,129.86,105.73
8/5/2019,119.57,125.99,101.89
8/6/2019,120.31,127.63,102.96
8/7/2019,114.64,127.73,100.76
8/8/2019,119.47,130.13,102.36
8/9/2019,115.75,129.27,101.94
8/12/2019,113.18,127.72,99.85
8/13/2019,115.36,129.61,100.71
8/14/2019,110.46,125.81,96.73
8/15/2019,108.02,126.12,96.35
8/16/2019,111.38,127.94,98.80
8/19/2019,113.71,129.49,99.96
8/20/2019,112.13,128.46,98.25
8/21/2019,112.97,129.52,98.69
8/22/2019,113.55,129.46,99.46
8/23/2019,108.91,126.10,96.64
8/26/2019,109.17,127.48,97.55
8/27/2019,107.32,127.08,96.64
8/28/2019,108.77,127.91,97.99
8/29/2019,112.61,129.53,99.90
8/30/2019,113.07,129.61,100.44
9/3/2019,110.39,128.72,98.65
9/4/2019,111.61,130.12,99.81
9/5/2019,116.07,131.81,102.40
9/6/2019,116.94,131.93,102.07
9/9/2019,123.01,131.92,105.75
9/10/2019,126.73,131.96,107.54
9/11/2019,129.03,132.91,108.34
9/12/2019,126.52,133.30,108.70
9/13/2019,130.15,133.20,109.99
9/16/2019,128.61,132.78,109.84
9/17/2019,124.00,133.12,109.01
9/18/2019,126.57,133.17,109.69
9/19/2019,125.53,133.17,109.05
9/20/2019,125.83,132.52,108.32
9/23/2019,125.24,132.51,108.50
9/24/2019,120.63,131.39,107.11
9/25/2019,124.36,132.20,108.37
9/26/2019,119.71,131.88,107.63
9/27/2019,119.77,131.18,108.19
9/30/2019,121.40,131.84,107.93
10/1/2019,115.58,130.23,105.14
10/2/2019,113.76,127.89,103.00
10/3/2019,113.62,128.91,103.14
10/4/2019,114.84,130.75,104.90
10/7/2019,114.65,130.16,104.59
10/8/2019,109.42,128.14,102.06
10/9/2019,110.88,129.30,102.89
10/10/2019,111.81,130.13,104.44
10/11/2019,117.45,131.55,106.38
10/14/2019,115.87,131.37,106.47
10/15/2019,120.13,132.68,108.43
10/16/2019,119.21,132.41,108.13
10/17/2019,119.01,132.78,108.00
10/18/2019,118.94,132.26,108.97
10/21/2019,122.29,133.17,110.98
10/22/2019,122.10,132.69,111.75
10/23/2019,122.08,133.07,112.30
10/24/2019,120.68,133.33,111.76
10/25/2019,127.70,133.87,112.98
10/28/2019,132.05,134.62,113.94
10/29/2019,133.13,134.51,114.12
10/30/2019,131.71,134.94,113.09
10/31/2019,128.68,134.53,111.99
11/1/2019,134.15,135.83,114.16
11/4/2019,138.25,136.34,116.39
11/5/2019,139.17,136.18,117.35
11/6/2019,134.48,136.27,117.25
11/7/2019,139.12,136.64,118.22
11/8/2019,138.62,136.99,118.39
11/11/2019,137.82,136.73,117.84
11/12/2019,138.67,136.94,117.66
11/13/2019,136.02,137.04,116.41
11/14/2019,135.34,137.15,116.30
11/15/2019,135.99,138.21,117.04
11/18/2019,133.15,138.28,117.18
11/19/2019,133.34,138.19,117.26
11/20/2019,132.69,137.68,116.65
11/21/2019,132.43,137.46,116.74
11/22/2019,134.22,137.76,117.89
11/25/2019,136.97,138.79,118.71
11/26/2019,135.35,139.10,118.06
11/27/2019,136.46,139.68,118.83
11/29/2019,134.63,139.12,118.41
12/2/2019,133.51,137.91,117.85
